=== ADMINS ===
mitch.yundt@planteshop.com tealplatypus92
kenneth.graham@planteshop.com azurewallaby89
mrs.glen.beier@planteshop.com whitehamster17
admin_exemple_1@planteshop.com password
admin_exemple_2@planteshop.com password
admin_exemple_3@planteshop.com password

=== USERS ===
kacey.spencer.i@planteshop.com limeeagle86
elinore.stiedemann@planteshop.com indigowoodchuck97
teresia.koch@planteshop.com pinkhippopotamus48
columbus.maggio@planteshop.com violetfish75
rex.keebler@planteshop.com silveryak50
leonel.cartwright@planteshop.com turquoisedonkey53
roslyn.bayer@planteshop.com indigotortoise67
dr.rob.kautzer@planteshop.com azureclam67
ariel.beier@planteshop.com orangebee15
garland.heaney@planteshop.com greyjellyfish94
lilian.boehm@planteshop.com yellowtortoise10
mrs.parthenia.conroy@planteshop.com greenyellowjacket29
scott.von@planteshop.com limemammoth47
hector.jakubowski@planteshop.com bluehound83
jami.miller@planteshop.com bluerat89
